Ledger date,Value date,User,Record,Event,Ope,Description,Debit,Credit
2019-07-08,2019-07-08,AIF,VS110447236,447236,674,MTN RWANDACELL LTD,"3,000",
2019-07-09,2019-07-09,AIF,VS110450872,450872,674,MTN RWANDACELL LTD,"1,000",
2019-07-09,2019-07-09,AIF,VS110450877,450877,674,MTN RWANDACELL LTD,"4,000",
2019-07-10,2019-07-10,AIF,VS110454978,454978,674,MTN RWANDACELL LTD,"1,000",
2019-07-12,2019-07-12,AMUT,OD043001,029843,164,MTN PULL_20190629,"1,000",
2019-07-12,2019-07-12,AUTO,,505446,660,BKAD0077 Auth:000029 BDK,"5,000",
2019-07-12,2019-07-12,AUTO,SB069505446,505446,969,WITHDRWAL CHARGES Ref No: 5054,200,
2019-07-12,2019-07-12,AMUT,OD043001,029885,164,MTN PULL_20190629,"10,000",
2019-07-15,2019-07-15,AUTO,SB069695782,695782,622,RECEIPT CHARGES Ref No: 695782,200,
2019-07-15,2019-07-15,AUTO,SB069523002,523002,969,WITHDRWAL CHARGES Ref No: 5230,200,
2019-07-15,2019-07-15,AUTO,SB069696225,696225,622,RECEIPT CHARGES Ref No: 696225,100,
2019-07-15,2019-07-15,AUTO,SB069516000,516000,969,WITHDRWAL CHARGES Ref No: 5160,200,
2019-07-15,2019-07-15,AUTO,,516000,660,BKAD0077 Auth:000030 BDK,"10,000",
2019-07-15,2019-07-15,AUTO,,523002,660,BKAD0003 Auth:000031 BDK,"5,000",
2019-07-31,2019-07-31,MRUT,VM001925225,973582,092,SAL JULY 2019,,"100,000"
2019-07-31,2019-07-31,AUTO,,619224,660,BKAD0006 Auth:000032 BDK,"30,000",
2019-07-31,2019-07-31,AUTO,SB069619224,619224,969,WITHDRWAL CHARGES Ref No: 6192,200,
2019-08-01,2019-08-01,AUTO,VH10062664,62664,613,BKP01119 Auth:000033 CUSTOMER,"7,800",
2019-08-02,2019-08-02,AUTO,SB069634059,634059,969,WITHDRWAL CHARGES Ref No: 6340,200,
2019-08-02,2019-08-02,AUTO,SB069634074,634074,969,WITHDRWAL CHARGES Ref No: 6340,200,
2019-08-02,2019-08-02,AUTO,,634074,660,BKAD0002 Auth:000034 BDK,"10,000",
2019-08-02,2019-08-02,AUTO,,634059,660,BKAD0002 Auth:000035 BDK,"50,000",
2019-08-06,2019-08-06,AUTO,SB069712536,712536,622,RECEIPT CHARGES Ref No: 712536,100,
2019-08-26,2019-08-26,AIF,VS110596311,596311,674,MTN RWANDACELL LTD,"1,900",
2019-08-30,2019-08-30,MUHA,VM001934633,056721,092,SAL AUG2019/ACME TRADING,,"100,000"
2019-09-02,2019-09-02,AIF,VS110616252,616252,674,MTN RWANDACELL LTD,"1,000",
2019-09-02,2019-09-02,AIF,VS110622198,622198,674,MTN RWANDACELL LTD,"6,000",
2019-09-02,2019-09-02,AIF,VS110619018,619018,674,MTN RWANDACELL LTD,"26,000",
2019-09-02,2019-09-02,AUTO,VH100177449,177449,613,BKP01118 Auth:000036 CUSTOMER,"6,900",
2019-09-04,2019-09-04,AUTO,SB069826028,826028,969,WITHDRWAL CHARGES Ref No: 8260,200,
2019-09-04,2019-09-04,AUTO,,826028,660,BKAD0085 Auth:000037 BDK,"58,000",
2019-09-09,2019-09-09,AIF,VS110646718,646718,674,MTN RWANDACELL LTD,"1,900",
2019-09-27,2019-09-27,MUHA,VM001943273,141771,092,SALARY/SEPT/2019,,"100,000"
2019-09-30,2019-09-30,AIF,VS120643983,643983,641,BILL PAYMENT EBANKING,"1,000",
2019-09-30,2019-09-30,AUTO,VH1001478,1478,613,BKP01118 Auth:000038 CUSTOMER,"3,300",
2019-09-30,2019-09-30,AIF,VS110713923,713923,674,MTN RWANDACELL LTD,"4,000",
2019-09-30,2019-10-01,AUTO,AG673823,673823,989,FRAIS FIXE AU 30/09/19,200,
2019-09-30,2019-09-30,AIF,VS110720598,720598,674,MTN RWANDACELL LTD,"5,000",
2019-09-30,2019-09-30,AIF,VS110715079,715079,674,MTN RWANDACELL LTD,"19,975",
2019-09-30,2019-09-30,AIF,VS110720471,720471,674,MTN RWANDACELL LTD,"12,000",
2019-10-01,2019-10-01,AUTO,SB06913440,13440,969,WITHDRWAL CHARGES Ref No: 1344,200,
2019-10-01,2019-10-01,AIF,VS120649389,649389,641,BILL PAYMENT EBANKING,100,
2019-10-01,2019-10-01,AUTO,VH10014271,14271,613,83908259 Auth:000039 CUSTOMER,"1,600",
2019-10-01,2019-10-01,AUTO,,13440,660,BKAD0001 Auth:000040 BDK,"50,000",
